minimum_rate,architecture,quantity,value
0.0,fully-digital-sdr,range_rcrb_m,0.005198505948935197
1.0,fully-digital-sdr,range_rcrb_m,0.005199262106511724
2.0,fully-digital-sdr,range_rcrb_m,0.0052016960333032885
3.0,fully-digital-sdr,range_rcrb_m,0.005206349874717839
4.0,fully-digital-sdr,range_rcrb_m,0.005215519836867927
5.0,fully-digital-sdr,range_rcrb_m,0.00523454140140585
6.0,fully-digital-sdr,range_rcrb_m,0.005275124514545498
7.0,fully-digital-sdr,range_rcrb_m,0.005363003112742802
8.0,fully-digital-sdr,range_rcrb_m,0.005559596971448544
9.0,fully-digital-sdr,range_rcrb_m,0.006041957246428954
9.6,fully-digital-sdr,range_rcrb_m,0.006713702131037105
10.0,fully-digital-sdr,range_rcrb_m,0.00761767510475202
10.3,fully-digital-sdr,range_rcrb_m,0.008962414568709299
10.5,fully-digital-sdr,range_rcrb_m,0.010773702761824298
10.6,fully-digital-sdr,range_rcrb_m,0.012439049730470832
10.7,fully-digital-sdr,range_rcrb_m,0.015557003571176965
0.0,hybrid-two-stage-sdr,range_rcrb_m,0.01717158343072557
1.0,hybrid-two-stage-sdr,range_rcrb_m,0.01717430373969088
2.0,hybrid-two-stage-sdr,range_rcrb_m,0.017182219816374987
3.0,hybrid-two-stage-sdr,range_rcrb_m,0.017197567599627202
4.0,hybrid-two-stage-sdr,range_rcrb_m,0.017228056209713544
5.0,hybrid-two-stage-sdr,range_rcrb_m,0.017290689594425916
6.0,hybrid-two-stage-sdr,range_rcrb_m,0.01742466808709476
7.0,hybrid-two-stage-sdr,range_rcrb_m,0.017715125195200493
8.0,hybrid-two-stage-sdr,range_rcrb_m,0.01836451598360125
9.0,hybrid-two-stage-sdr,range_rcrb_m,0.019957652056391842
9.6,hybrid-two-stage-sdr,range_rcrb_m,0.022176639876421895
10.0,hybrid-two-stage-sdr,range_rcrb_m,0.025162671425161497
10.3,hybrid-two-stage-sdr,range_rcrb_m,0.02960460900043254
10.5,hybrid-two-stage-sdr,range_rcrb_m,0.03558764831792662
10.6,hybrid-two-stage-sdr,range_rcrb_m,0.041079740657998846
10.7,hybrid-two-stage-sdr,range_rcrb_m,0.05138782684199723
0.0,fully-digital-sdr,angle_rcrb_deg,3.4514996092581236e-05
1.0,fully-digital-sdr,angle_rcrb_deg,3.451996808561941e-05
2.0,fully-digital-sdr,angle_rcrb_deg,3.453630967757859e-05
3.0,fully-digital-sdr,angle_rcrb_deg,3.4566882103637896e-05
4.0,fully-digital-sdr,angle_rcrb_deg,3.462803691415796e-05
5.0,fully-digital-sdr,angle_rcrb_deg,3.475438993850245e-05
6.0,fully-digital-sdr,angle_rcrb_deg,3.502361222746241e-05
7.0,fully-digital-sdr,angle_rcrb_deg,3.5607215077513355e-05
8.0,fully-digital-sdr,angle_rcrb_deg,3.6912822191987915e-05
9.0,fully-digital-sdr,angle_rcrb_deg,4.0115145349412076e-05
9.6,fully-digital-sdr,angle_rcrb_deg,4.4574977904505105e-05
10.0,fully-digital-sdr,angle_rcrb_deg,5.0577062330858696e-05
10.3,fully-digital-sdr,angle_rcrb_deg,5.9505020798213026e-05
10.5,fully-digital-sdr,angle_rcrb_deg,7.153070150742138e-05
10.6,fully-digital-sdr,angle_rcrb_deg,8.258770638314768e-05
10.7,fully-digital-sdr,angle_rcrb_deg,0.00010328980206258052
0.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020495936593376295
1.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020498889097087428
2.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020508593175619898
3.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020526747907677147
4.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020563105599119826
5.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020638137590936204
6.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.0002079800938416674
7.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.0002114452571681711
8.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00021919830473113557
9.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.0002382145642752515
9.6,hybrid-two-stage-sdr,angle_rcrb_deg,0.00026469825415343425
10.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.0003003402520550587
10.3,hybrid-two-stage-sdr,angle_rcrb_deg,0.00035335688000551847
10.5,hybrid-two-stage-sdr,angle_rcrb_deg,0.0004247686190209252
10.6,hybrid-two-stage-sdr,angle_rcrb_deg,0.0004903271917573275
10.7,hybrid-two-stage-sdr,angle_rcrb_deg,0.0006133753547781476
