distance_m,architecture,quantity,value
5.0,fully-digital-sdr,range_rcrb_m,0.0003244726332377955
10.0,fully-digital-sdr,range_rcrb_m,0.0012992519141561487
15.0,fully-digital-sdr,range_rcrb_m,0.0029240082939881906
20.0,fully-digital-sdr,range_rcrb_m,0.005198569694849961
25.0,fully-digital-sdr,range_rcrb_m,0.00812286650630152
30.0,fully-digital-sdr,range_rcrb_m,0.011696632458767259
35.0,fully-digital-sdr,range_rcrb_m,0.015921397984207875
40.0,fully-digital-sdr,range_rcrb_m,0.020795344239263443
5.0,hybrid-two-stage-sdr,range_rcrb_m,0.0019281668867922193
10.0,hybrid-two-stage-sdr,range_rcrb_m,0.006240278667026715
15.0,hybrid-two-stage-sdr,range_rcrb_m,0.01355664027827986
20.0,hybrid-two-stage-sdr,range_rcrb_m,0.02386508259963829
25.0,hybrid-two-stage-sdr,range_rcrb_m,0.03714739523050784
30.0,hybrid-two-stage-sdr,range_rcrb_m,0.05338876608600453
35.0,hybrid-two-stage-sdr,range_rcrb_m,0.07258803083927033
40.0,hybrid-two-stage-sdr,range_rcrb_m,0.0947460757848794
5.0,fully-digital-sdr,angle_rcrb_deg,3.466449533675099e-05
6.0,fully-digital-sdr,angle_rcrb_deg,3.461597813522981e-05
7.0,fully-digital-sdr,angle_rcrb_deg,3.4586660549001616e-05
8.0,fully-digital-sdr,angle_rcrb_deg,3.456750019852999e-05
10.0,fully-digital-sdr,angle_rcrb_deg,3.454505704428542e-05
12.0,fully-digital-sdr,angle_rcrb_deg,3.453280730237442e-05
15.0,fully-digital-sdr,angle_rcrb_deg,3.4522874184924074e-05
20.0,fully-digital-sdr,angle_rcrb_deg,3.451512225035956e-05
25.0,fully-digital-sdr,angle_rcrb_deg,3.451150503383833e-05
30.0,fully-digital-sdr,angle_rcrb_deg,3.450948002788243e-05
35.0,fully-digital-sdr,angle_rcrb_deg,3.450835987752905e-05
40.0,fully-digital-sdr,angle_rcrb_deg,3.45075344339248e-05
5.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00022113305421199198
6.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00022084182486728995
7.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.0002185202745330453
8.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00021608146774491622
10.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.000212152420644783
12.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020939772242083596
15.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020662887695082244
20.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020388239942391396
25.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020225043174591035
30.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020116784879015557
35.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00020039714251119992
40.0,hybrid-two-stage-sdr,angle_rcrb_deg,0.00019982035546548893
